Geography,Gender,Age,Balance,IsActiveMember,Exited
Germany,Male,27.0,95826.49,0,0
Germany,Male,44.0,129608.57,0,1
France,Male,30.0,169462.09,0,0
France,Male,40.0,0.0,1,0
Spain,Female,35.0,133868.21,1,0
France,Female,30.0,0.0,1,0
Germany,Male,36.0,190479.48,0,0
Spain,Female,40.0,101993.12,1,0
Germany,Female,55.0,161608.81,0,1
Spain,Female,45.0,122311.21,1,0
France,Male,38.9218,0.0,1,0
Germany,Female,45.0,162150.42,0,0
France,Male,42.0,0.0,1,0
France,Female,50.0,0.0,1,1
France,Male,32.0,0.0,0,0
France,Female,39.0,99010.67,0,0
Spain,Female,37.0,0.0,1,0
Spain,Male,30.0,0.0,1,0
Germany,Female,34.0,111388.18,0,0
France,Female,41.0,56214.85,0,1
France,Female,36.0,84327.77,0,0
France,Male,40.0,0.0,0,0
France,Male,32.0,93012.89,0,0
Spain,Male,29.0,61710.44,0,0
France,Male,35.0,174790.15,1,0
Spain,Female,32.0,0.0,1,0
Germany,Male,37.0,107720.64,1,0
France,Male,57.0,0.0,1,0
France,Male,35.0,96423.84,0,0
Spain,Male,30.0,141040.01,1,0
France,Male,42.0,105420.18,1,0
Spain,Male,50.0,0.0,1,1
France,Female,38.0,129022.06,1,1
Spain,Male,33.0,176666.62,0,0
France,Male,37.0,0.0,1,0
Spain,Female,41.0,89763.84,0,1
France,Male,34.0,134954.53,1,0
France,Male,45.0,0.0,0,1
France,Male,45.0,106376.85,1,0
Germany,Male,33.0,161814.64,0,0
France,Male,31.0,0.0,1,0
France,Female,41.0,0.0,0,0
France,Female,34.0,63095.01,1,0
Germany,Male,26.0,118287.01,0,0
Germany,Male,47.0,106854.21,1,1
France,Male,46.0,49512.55,0,0
Spain,Female,33.0,0.0,0,0
France,Male,43.0,105799.32,0,1
France,Male,54.0,0.0,1,1
France,Female,31.0,114722.05,1,0
Spain,Male,30.0,0.0,1,0
France,Male,42.0,0.0,1,0
France,Male,33.0,0.0,0,1
Germany,Male,45.0,99564.22,1,1
France,Male,37.0,170557.91,0,0
France,Female,30.0,0.0,1,0
Germany,Female,39.0,74596.15,1,1
Germany,Male,50.0,96888.39,0,1
Germany,Female,29.0,130830.22,0,0
France,Male,38.9218,0.0,1,0
France,Male,40.0,0.0,0,0
France,Female,37.0,0.0,1,0
Germany,Male,20.0,119714.25,1,0
France,Female,38.9218,113978.97,1,0
Germany,Male,42.0,100160.75,0,1
France,Female,29.0,0.0,1,0
Germany,Female,43.0,116220.5,0,1
France,Female,46.0,0.0,0,1
France,Male,28.0,81173.83,1,0
Spain,Male,38.0,0.0,0,0
Germany,Female,39.0,116803.8,0,0
France,Male,37.0,105961.68,1,0
Germany,Male,38.9218,117411.6,1,1
Spain,Male,34.0,0.0,0,0
France,Female,40.0,123497.58,0,1
Germany,Male,26.0,152400.51,0,0
France,Female,26.0,0.0,1,0
Germany,Male,24.0,103097.85,1,0
Germany,Male,54.0,126418.14,0,1
Germany,Female,36.0,77846.9,0,0
Spain,Female,34.0,0.0,1,0
France,Female,38.9218,0.0,1,0
Germany,Male,37.0,79731.91,1,0
Spain,Male,28.0,0.0,0,0
Spain,Male,41.0,0.0,1,0
France,Male,34.0,0.0,1,0
Germany,Female,34.0,37266.67,0,0
France,Female,30.0,127992.25,1,0
Germany,Male,38.0,54901.01,1,0
Germany,Male,42.0,108748.08,1,0
Spain,Female,48.0,99906.19,0,0
France,Female,32.0,184686.41,0,0
France,Female,26.0,110654.02,1,0
Spain,Male,31.0,79019.8,1,0
Spain,Female,36.0,99240.51,0,0
France,Male,34.0,0.0,1,0
France,Male,36.0,0.0,0,0
Spain,Female,39.0,0.0,0,1
Germany,Female,35.0,52436.2,0,0
Spain,Male,41.0,0.0,1,0
Germany,Male,34.0,100337.96,0,1
Germany,Female,34.0,149297.19,1,0
France,Male,30.0,0.0,0,0
Germany,Male,28.0,145605.44,1,0
Spain,Female,37.0,0.0,1,0
France,Male,62.0,0.0,1,1
France,Female,53.0,0.0,0,0
France,Male,35.0,84026.86,1,0
France,Male,46.0,0.0,0,1
France,Male,39.0,0.0,1,0
Spain,Male,29.0,0.0,1,0
Germany,Male,35.0,138718.92,1,1
France,Male,42.0,118274.71,1,0
France,Female,22.0,174185.98,1,0
France,Male,40.0,113208.86,0,0
Spain,Male,29.0,103907.28,0,0
France,Female,32.0,119023.28,0,0
Spain,Female,26.0,166297.89,1,0
Spain,Male,34.0,0.0,0,0
Germany,Male,42.0,63227.0,1,0
Spain,Female,41.0,94521.17,0,0
France,Male,27.0,0.0,0,0
Spain,Female,34.0,112822.26,0,1
France,Male,38.0,0.0,1,0
France,Male,25.0,135903.33,0,0
France,Female,31.0,125169.26,1,0
Spain,Female,44.0,0.0,0,1
France,Male,58.0,149117.31,1,0
France,Male,33.0,0.0,1,0
France,Female,31.0,0.0,0,0
Spain,Female,36.0,132311.71,0,0
France,Male,35.0,0.0,0,0
France,Female,33.0,0.0,1,0
France,Male,33.0,118082.89,0,0
France,Male,31.0,119266.69,1,0
France,Male,43.0,0.0,1,1
Germany,Male,35.0,156847.29,0,0
France,Male,50.0,137104.47,0,1
Germany,Male,31.0,78398.69,0,0
France,Female,38.9218,0.0,1,0
Germany,Male,30.0,63669.42,0,0
France,Male,38.0,0.0,0,0
Germany,Female,59.0,135296.33,0,0
Spain,Male,36.0,153804.44,1,0
Spain,Male,37.0,0.0,0,0
France,Male,49.0,147069.78,0,1
Spain,Male,42.0,0.0,1,0
Spain,Female,22.0,0.0,0,0
France,Male,24.0,95741.75,0,0
Spain,Female,57.0,145965.33,1,0
France,Female,30.0,141441.75,1,0
France,Male,40.0,139290.41,0,1
France,Female,31.0,0.0,0,0
France,Male,30.0,0.0,0,0
France,Male,35.0,144428.87,0,0
France,Male,35.0,0.0,0,0
France,Female,46.0,95441.27,0,1
Germany,Male,35.0,144848.74,1,0
Germany,Male,26.0,116244.14,1,0
France,Male,50.0,0.0,1,0
Spain,Female,40.0,146502.07,0,0
Germany,Male,44.0,117028.6,1,0
Germany,Female,30.0,112013.81,0,1
Spain,Female,37.0,108269.37,0,0
France,Male,29.0,182123.79,0,1
Germany,Female,32.0,150923.74,1,0
France,Male,33.0,0.0,0,0
Spain,Female,39.0,165272.13,0,1
Germany,Female,39.0,115301.31,0,1
Germany,Female,40.0,129502.49,1,1
France,Male,31.0,118342.26,0,0
Spain,Female,47.0,0.0,1,0
France,Male,22.0,0.0,0,0
France,Female,25.0,0.0,0,0
France,Female,43.0,0.0,0,0
Germany,Female,34.0,106937.05,0,0
Germany,Male,59.0,170331.37,1,0
Germany,Female,32.0,114510.85,1,0
France,Male,39.0,0.0,1,0
Spain,Male,32.0,107594.11,1,0
Spain,Male,39.0,81273.13,1,0
Spain,Female,32.0,169399.6,0,0
Spain,Male,25.0,0.0,1,0
France,Female,45.0,187841.99,1,0
France,Male,30.0,0.0,0,0
Spain,Female,57.0,126776.3,1,0
Spain,Male,34.0,126436.29,0,1
France,Male,41.0,101960.74,1,0
France,Male,58.0,0.0,1,0
Spain,Male,28.0,0.0,1,0
Germany,Female,45.0,150842.93,1,1
France,Female,50.0,102535.57,1,0
Germany,Female,29.0,99027.61,0,0
France,Male,38.9218,0.0,1,0
Spain,Female,33.0,0.0,1,0
Germany,Female,42.0,87271.41,0,0
Germany,Female,35.0,102742.91,1,0
Germany,Male,34.0,40105.51,1,0
France,Female,29.0,152265.43,0,0
Spain,Male,42.0,141947.67,1,0
Germany,Female,38.9218,106307.91,1,0
Germany,Male,31.0,107884.81,1,0
Germany,Male,31.0,125013.72,1,0
Germany,Male,35.0,58469.37,1,0
France,Female,39.0,0.0,1,0
Germany,Male,45.0,117231.63,1,1
Spain,Male,35.0,152390.26,0,0
Spain,Female,30.0,34013.63,0,0
Spain,Female,39.0,0.0,0,1
France,Female,50.0,0.0,1,0
France,Male,36.0,101583.11,0,0
Germany,Female,30.0,77168.87,1,0
Germany,Male,28.0,124695.72,0,0
Germany,Male,44.0,105934.96,0,0
France,Female,38.9218,0.0,1,0
Spain,Male,46.0,0.0,0,0
Spain,Male,62.0,0.0,1,0
Spain,Female,45.0,0.0,1,0
France,Female,21.0,161525.96,0,0
Germany,Female,29.0,147199.07,1,0
Germany,Male,38.0,183102.29,1,0
Spain,Male,46.0,127209.0,0,1
Spain,Male,38.0,0.0,0,1
Spain,Female,24.0,97378.54,1,0
Germany,Female,37.0,136925.09,1,0
France,Male,33.0,54503.55,1,0
Germany,Male,32.0,155726.85,0,0
France,Female,39.0,0.0,1,0
France,Female,38.9218,135842.41,0,1
France,Male,52.0,63349.75,0,0
Germany,Female,38.0,129499.42,1,0
Spain,Male,52.0,0.0,1,0
Spain,Male,36.0,70438.01,1,0
France,Male,23.0,0.0,1,0
France,Male,36.0,0.0,0,0
Spain,Female,49.0,141434.04,0,1
Spain,Female,37.0,0.0,0,0
Germany,Male,37.0,152958.29,1,0
Germany,Female,41.0,138306.34,0,0
Spain,Male,23.0,0.0,0,0
France,Male,38.0,0.0,1,0
Spain,Female,31.0,124328.84,1,0
Germany,Female,41.0,181461.48,1,1
Spain,Male,35.0,0.0,0,0
Spain,Male,26.0,0.0,0,0
Germany,Female,61.0,110368.03,0,1
France,Female,39.0,89588.35,1,0
France,Female,46.0,0.0,0,0
France,Female,28.0,0.0,0,0
Germany,Female,60.0,115924.89,0,1
France,Female,38.0,0.0,0,0
Germany,Male,40.0,111756.5,0,1
France,Female,35.0,0.0,0,0
France,Male,39.0,0.0,0,0
France,Male,26.0,162923.85,0,0
Germany,Male,39.0,124576.65,0,0
France,Male,45.0,80793.58,1,0
Germany,Female,40.0,71340.09,0,0
Germany,Male,40.0,99282.63,0,1
Germany,Male,57.0,137946.39,1,1
Germany,Male,41.0,127892.57,1,0
Germany,Female,33.0,101084.36,0,0
Germany,Female,37.0,114754.08,0,1
France,Male,33.0,0.0,0,0
France,Female,51.0,99286.98,1,0
Germany,Female,30.0,79871.02,0,0
France,Male,35.0,104088.59,0,0
France,Female,38.0,168190.33,0,0
Germany,Female,42.0,85679.25,1,0
France,Female,35.0,0.0,0,0
France,Female,31.0,0.0,0,0
France,Female,34.0,121551.58,1,0
France,Male,46.0,122220.19,1,0
Spain,Male,47.0,116528.15,0,1
France,Female,26.0,77780.29,1,0
France,Male,37.0,0.0,0,0
France,Male,40.0,125832.2,1,0
France,Female,38.0,68065.8,0,1
Spain,Female,47.0,127299.34,0,0
Germany,Female,38.0,174937.64,0,0
France,Male,40.0,0.0,1,0
Spain,Male,31.0,110071.1,0,0
Spain,Female,44.0,139432.37,0,0
France,Female,39.0,127357.76,1,0
France,Male,36.0,0.0,0,0
France,Male,33.0,0.0,1,0
France,Male,38.0,0.0,0,0
Germany,Male,43.0,95556.31,1,1
Spain,Male,37.0,0.0,1,0
Germany,Male,29.0,111681.98,1,0
France,Male,39.0,0.0,0,0
Spain,Female,25.0,108738.71,0,0
France,Female,32.0,133950.37,1,1
Spain,Male,26.0,0.0,1,0
France,Male,33.0,89968.69,0,0
Spain,Female,32.0,0.0,1,0
Germany,Female,38.0,130878.75,0,1
France,Male,35.0,0.0,0,0
France,Male,35.0,0.0,1,0
Spain,Male,27.0,134169.62,1,0
France,Male,37.0,149762.08,0,1
France,Male,26.0,93844.69,0,0
France,Male,28.0,0.0,0,0
France,Female,33.0,0.0,0,0
Germany,Male,46.0,141078.37,0,1
Germany,Female,31.0,117992.59,1,0
France,Female,40.0,100812.33,0,0
France,Male,38.0,0.0,1,0
France,Male,29.0,80262.6,1,0
Spain,Male,34.0,156478.62,1,0
France,Female,23.0,0.0,0,0
France,Male,37.0,0.0,0,0
Germany,Male,37.0,115217.99,0,0
Spain,Male,61.0,0.0,0,1
France,Female,35.0,155470.55,1,0
France,Male,37.0,0.0,0,0
France,Male,39.0,135096.77,1,1
France,Male,30.0,0.0,1,0
Germany,Female,55.0,180075.22,1,0
Spain,Male,29.0,97541.24,1,0
France,Female,41.0,156067.05,1,0
France,Female,38.0,81550.94,1,0
France,Female,47.0,0.0,0,1
France,Female,38.0,170061.92,0,1
Germany,Male,36.0,92310.54,1,0
France,Female,32.0,169089.38,0,0
France,Male,40.0,80613.93,1,0
Germany,Male,26.0,121581.56,1,0
France,Female,58.0,0.0,1,1
Spain,Male,32.0,0.0,1,0
France,Male,54.0,0.0,1,0
France,Male,60.0,85891.55,0,1
Spain,Male,44.0,77637.35,1,0
Spain,Female,41.0,0.0,0,0
France,Male,31.0,0.0,0,0
Germany,Male,30.0,116927.89,0,0
Germany,Female,40.0,137326.65,0,0
France,Male,22.0,0.0,1,0
Spain,Female,37.0,0.0,1,0
Germany,Female,31.0,67238.98,1,0
Germany,Female,38.0,86569.76,0,0
Spain,Male,34.0,0.0,0,0
France,Male,34.0,133598.4,1,0
France,Female,51.0,136188.78,1,1
Spain,Male,38.0,0.0,0,0
France,Female,56.0,0.0,1,1
Germany,Male,37.0,120092.52,0,0
France,Male,48.0,101238.24,1,1
France,Male,58.0,89685.92,1,0
France,Female,35.0,211774.31,0,1
France,Male,56.0,131317.48,1,0
Spain,Male,37.0,93722.73,1,0
Germany,Male,32.0,101160.99,1,0
France,Male,48.0,120320.54,0,0
France,Female,31.0,0.0,1,0
France,Male,43.0,0.0,1,0
France,Male,26.0,0.0,0,0
Germany,Female,48.0,152827.99,0,1
France,Male,30.0,64097.75,1,0
Spain,Female,57.0,119035.35,1,0
Spain,Female,26.0,135219.57,1,0
France,Male,32.0,93694.42,1,0
Spain,Male,35.0,59408.63,0,0
France,Female,40.0,114354.95,0,0
France,Male,59.0,0.0,0,1
Germany,Male,35.0,128173.9,0,0
Spain,Male,34.0,0.0,0,0
Germany,Female,62.0,114931.35,1,1
Germany,Female,28.0,111071.36,0,1
France,Male,37.0,151226.18,1,0
France,Male,26.0,0.0,1,0
France,Female,42.0,64740.12,1,0
Spain,Male,51.0,169312.13,0,1
France,Female,49.0,0.0,1,1
Spain,Female,44.0,112652.08,0,0
France,Male,38.0,0.0,0,0
Germany,Female,30.0,143964.36,0,0
France,Male,49.0,122451.46,1,0
France,Male,24.0,0.0,1,0
Germany,Female,36.0,65253.07,0,0
Germany,Male,47.0,106901.94,1,1
Spain,Female,25.0,128509.63,0,0
France,Male,34.0,0.0,0,0
Germany,Male,33.0,129834.67,0,0
Spain,Female,51.0,154962.99,1,1
Germany,Male,40.0,138241.9,0,0
Germany,Male,41.0,91536.93,0,1
Spain,Male,53.0,0.0,1,0
Spain,Female,38.9218,0.0,1,0
Germany,Female,29.0,105204.01,1,0
Spain,Male,61.0,152968.73,1,0
Spain,Male,36.0,158261.68,1,0
France,Female,46.0,0.0,0,1
Spain,Female,38.0,121021.05,1,0
France,Male,36.0,0.0,1,0
Spain,Female,54.0,0.0,0,1
Spain,Female,38.9218,137715.66,1,0
Germany,Male,31.0,121192.22,1,0
France,Male,31.0,0.0,1,0
France,Male,44.0,100486.18,1,0
France,Male,45.0,0.0,0,1
France,Male,35.0,92566.53,0,0
Spain,Female,49.0,0.0,1,1
Spain,Male,40.0,110929.96,1,0
France,Female,27.0,0.0,1,0
Spain,Female,32.0,138901.61,0,0
France,Male,30.0,123217.66,1,0
France,Female,41.0,0.0,0,0
France,Male,39.0,0.0,1,0
Spain,Male,36.0,0.0,0,0
Spain,Female,33.0,108431.87,1,1
Spain,Female,57.0,0.0,1,0
Germany,Female,30.0,72392.41,0,0
Germany,Female,51.0,119741.77,0,1
France,Female,51.0,100946.71,0,1
Spain,Male,53.0,170491.84,0,1
France,Male,44.0,0.0,1,0
France,Male,36.0,0.0,0,0
Spain,Female,47.0,157296.02,0,1
Germany,Female,38.0,144606.22,1,1
France,Male,38.0,134811.3,0,0
France,Female,34.0,115897.12,1,0
Spain,Male,32.0,82034.0,0,0
Spain,Female,26.0,174318.13,1,0
Germany,Female,41.0,114206.84,0,0
Spain,Male,43.0,0.0,0,0
Germany,Male,39.0,111574.41,1,0
Germany,Female,57.0,162448.69,0,1
Germany,Female,34.0,148249.54,1,0
France,Female,43.0,0.0,1,1
Spain,Female,26.0,123709.46,1,0
France,Female,38.9218,0.0,1,0
France,Male,30.0,0.0,0,1
France,Male,37.0,150525.8,1,0
France,Male,29.0,0.0,1,0
France,Male,53.0,0.0,1,0
France,Male,28.0,0.0,0,0
France,Male,35.0,0.0,1,0
Germany,Female,51.0,111018.98,0,0
France,Male,30.0,129755.99,0,0
France,Female,27.0,0.0,0,0
France,Female,38.9218,129555.7,1,0
Spain,Male,38.0,87202.38,1,0
Germany,Male,26.0,146133.39,1,0
Spain,Female,31.0,0.0,0,1
Spain,Male,39.0,170184.99,0,0
Germany,Female,62.0,140745.33,0,1
Spain,Male,42.0,139070.51,1,0
Spain,Female,37.0,0.0,1,0
France,Male,35.0,114193.24,0,0
Spain,Female,40.0,167878.5,1,0
Germany,Female,53.0,141616.55,1,0
Germany,Male,36.0,145747.67,1,0
Spain,Female,48.0,129120.64,1,0
Spain,Male,35.0,110349.82,0,0
France,Male,29.0,141325.56,1,0
France,Male,49.0,78653.84,0,0
France,Male,47.0,0.0,1,0
Spain,Female,28.0,142253.65,0,0
France,Female,61.0,0.0,0,1
Germany,Female,54.0,115988.86,0,1
Spain,Female,33.0,75592.43,0,0
Germany,Male,44.0,164113.04,1,0
France,Male,31.0,67996.23,0,1
Spain,Female,51.0,0.0,0,0
Spain,Female,33.0,0.0,0,0
France,Male,48.0,138778.15,1,0
France,Female,43.0,147832.15,1,0
France,Female,36.0,135438.4,0,0
Spain,Male,48.0,116060.08,0,1
France,Female,29.0,112564.62,0,0
France,Female,27.0,125406.58,1,0
Germany,Female,39.0,135134.99,0,1
France,Female,39.0,133102.92,0,1
France,Female,34.0,42157.08,0,1
France,Female,30.0,0.0,1,0
France,Male,38.0,82259.29,0,0
France,Female,36.0,0.0,0,0
France,Male,38.0,0.0,1,0
France,Female,49.0,0.0,1,0
France,Male,52.0,0.0,1,0
France,Male,42.0,150461.07,0,0
Germany,Male,48.0,133994.52,1,1
Spain,Male,31.0,164870.81,1,0
Germany,Male,25.0,121702.73,1,0
Spain,Male,25.0,193858.2,1,0
Germany,Female,54.0,131039.97,1,0
France,Male,38.9218,113829.45,1,0
France,Female,30.0,0.0,0,0
Germany,Female,41.0,81877.38,1,0
Spain,Male,57.0,116326.07,1,0
France,Male,31.0,0.0,1,0
France,Male,46.0,0.0,1,0
France,Female,41.0,0.0,1,0
France,Male,33.0,0.0,1,0
France,Female,31.0,127070.73,1,0
France,Male,29.0,0.0,1,0
Spain,Male,46.0,122549.64,1,0
France,Female,42.0,176099.13,1,0
Germany,Female,48.0,122388.38,0,0
France,Male,42.0,0.0,1,0
France,Male,26.0,0.0,0,0
Spain,Female,32.0,118879.35,1,0
Spain,Male,35.0,0.0,1,0
France,Female,39.0,0.0,1,0
Spain,Female,38.0,88736.44,0,0
Germany,Male,45.0,102703.62,1,1
Spain,Female,38.9218,0.0,1,0
Spain,Female,38.0,0.0,0,0
France,Male,55.0,97318.25,1,0
Spain,Male,58.0,128468.69,1,0
Germany,Female,41.0,133432.59,1,0
Germany,Female,40.0,141782.57,0,0
France,Male,24.0,135125.28,0,0
Spain,Male,42.0,178820.91,0,1
France,Female,31.0,112212.14,1,0
Germany,Female,45.0,126674.81,0,1
France,Female,51.0,136294.97,0,1
France,Female,36.0,66392.64,0,0
Germany,Male,27.0,122552.34,0,0
France,Male,43.0,76408.85,0,0
Germany,Male,36.0,145071.24,0,0
France,Male,34.0,0.0,1,0
France,Female,45.0,109730.22,1,0
France,Male,57.0,0.0,1,0
Spain,Male,62.0,64119.38,1,1
Germany,Female,57.0,106138.33,1,1
Spain,Male,36.0,0.0,1,0
Germany,Male,33.0,181656.51,1,0
France,Female,32.0,0.0,0,0
France,Male,30.0,95128.86,0,0
Spain,Female,49.0,126615.94,1,0
Spain,Male,36.0,0.0,1,0
Germany,Male,36.0,76190.48,1,0
Germany,Male,40.0,168286.81,0,1
Germany,Male,35.0,88109.81,1,0
France,Male,42.0,0.0,0,0
France,Female,35.0,0.0,1,0
France,Female,34.0,123971.51,0,0
France,Male,48.0,148116.48,0,0
Germany,Male,35.0,116269.01,0,0
Spain,Male,38.0,120599.21,0,0
France,Female,41.0,144260.5,0,0
Spain,Female,25.0,86605.5,0,1
France,Male,34.0,0.0,0,0
Germany,Female,37.0,58629.97,0,0
Spain,Female,42.0,0.0,0,0
France,Male,45.0,0.0,0,0
France,Female,43.0,0.0,1,0
Spain,Female,56.0,209767.31,1,1
Spain,Female,42.0,129634.25,1,1
France,Male,23.0,0.0,0,0
France,Female,38.0,169824.46,0,0
France,Male,36.0,97530.25,1,0
France,Female,42.0,145988.65,1,0
France,Male,37.0,0.0,1,0
France,Female,25.0,0.0,1,0
France,Female,40.0,137494.28,0,0
France,Female,57.0,0.0,0,1
France,Male,24.0,147360.0,1,0
France,Female,25.0,0.0,0,0
Spain,Male,31.0,125167.02,0,0
Germany,Male,43.0,121152.05,0,1
Germany,Female,60.0,128981.07,1,1
France,Male,47.0,0.0,1,0
Spain,Male,38.9218,151858.98,1,0
France,Male,36.0,114628.4,1,0
France,Male,46.0,0.0,0,0
France,Female,28.0,95059.02,0,0
France,Female,24.0,128736.39,1,0
France,Male,24.0,156325.38,1,0
France,Male,29.0,105405.97,1,0
France,Female,49.0,88915.37,0,1
France,Male,60.0,0.0,1,0
